product_id,post_title,price,total_sales,ca_produit
4965,Château Turcaud Entre-Deux-Mers 2019,7.1,26.0,184.6
4727,Paul Ginglinger Riesling Grand Cru Pfersigberg 2018,26.0,2.0,52.0
4058,Mourgues du Grès Costières de Nîmes Galets Rouges 2019,8.7,11.0,95.69999999999999
5695,Philippe Nusswitz IGP Cévènnes Rosé O Pale 2019,6.5,14.0,91.0
4925,Cave de Castelmaure Corbières Rouge N°3 2017,23.2,12.0,278.4
4863,Château Ollieux Romanis Corbières Rosé Classique 2019,8.2,4.0,32.8
6930,Mouthes Le Bihan Côtes de Duras L'Aimé Chai 2015,8.4,5.0,42.0
4057,Mourgues du Grès Costières de Nîmes Galets Dorés 2019,8.7,18.0,156.6
5465,Clos du Mont-Olivet Châteauneuf-du-Pape 2007,54.8,3.0,164.39999999999998
5739,Triennes IGP Méditerranée Rouge Merlot 2016,10.7,1.0,10.7
5896,Thevenet Quintaine Viré-Clessé La Bongran 2015,24.7,0.0,0.0
4610,François Bergeret Hautes Côtes de Beaune Blanc 2018,13.1,0.0,0.0
6616,Clos du Mont-Olivet Lirac Rouge 2017,15.4,1.0,15.4
5797,Château Saransot-Dupré Listrac-Médoc 2016,17.2,0.0,0.0
4097,Paul Ginglinger Pinot Gris Les Prelats 2018,12.8,1.0,12.8
4147,Champagne Mailly Grand Cru Extra Brut Millésimé 2012,33.0,3.0,99.0
5778,Maurel Pays d'Oc Merlot 2018,5.8,24.0,139.2
4671,Domaine Pellé Menetou Salon Rouge Les Cris 2015,21.9,0.0,0.0
5491,Marc Colin Et Fils Santenay Rouge 2017,26.5,0.0,0.0
4596,Marc Colin Et Fils Chassagne-Montrachet Blanc Margot 2017,43.9,23.0,1009.6999999999999
4160,Planeta Sicilia La Segreta Rosso 2017,9.3,7.0,65.10000000000001
4940,Oratoire Saint Martin Cairanne Blanc Haut-Coustias 2017,20.5,2.0,41.0
4216,Domaine de l'Ecu Muscadet Classic 2018,13.4,1.0,13.4
5771,Camille Giroud Santenay Rouge 1er Cru Clos Rousseau 2016,38.4,0.0,0.0
5768,Camille Giroud Maranges Rouge 1er Cru Le Croix Moines 2016,35.6,1.0,35.6
4605,Catherine et Claude Maréchal Savigny-Lès-Beaune Rouge 2016,32.2,0.0,0.0
5481,Domaine Bulliat Moulin-à-Vent 2017,11.5,0.0,0.0
5809,Château Tour De Pez Saint-Estèphe Les Hauts de Pez 2016,17.9,0.0,0.0
5804,Château Le Puy Bordeaux Côtes-de-Francs Emilien 2016,25.0,1.0,25.0
5610,Domaine Weinbach Pinot Blanc 2017,18.0,0.0,0.0
4713,Domaine Schoenheitz Gewurztraminer Lisenberg 2015,18.4,12.0,220.79999999999998
5700,"Gilles Robin Crozes-Hermitage Rouge ""1920"" 2016",44.5,1.0,44.5
5474,Domaine Saint-Nicolas Fiefs Vendéens Rouge La Grande Pièce 2013,42.0,4.0,168.0
5712,Albert Mann Gewurztraminer Vendanges Tardives Altenbourg 2015,57.6,1.0,57.6
5391,Australie Maverick Trial Hill Riesling 2010,24.2,1.0,24.2
6212,Domaine des Comtes Lafon Volnay 1er Cru Santenots du Milieu 2015,115.0,2.0,230.0
5580,Lucien Boillot Puligny-Montrachet 1er Cru Les Perrières 2016,83.7,0.0,0.0
4405,Cognac Frapin Château de Fontpinot XO 1/2,68.1,0.0,0.0
4780,Maurice Schoech Crémant d'Alsace Brut Rosé Bulles de Granite,13.7,1.0,13.7
4196,Château de La Liquière Faugères Tucade 2015,27.2,2.0,54.4
4398,Wemyss Malts Blended Malt Scotch Whisky Peat Chimney Batch Strength,59.0,0.0,0.0
4629,Marcel Windholtz Eau de Vie de Fraise,52.4,2.0,104.8
4632,Marcel Windholtz Eau de Vie de Quetsch d'Alsace Réserve Particulière,50.0,0.0,0.0
4148,Champagne Mailly Grand Cru Brut Rosé,37.5,0.0,0.0
4627,Marcel Windholtz Eau de Vie de Poire Williams Réserve Particulière,58.3,4.0,233.2
4631,Marcel Windholtz Eau de Vie de Baie de Houx,76.8,0.0,0.0
7247,Clos du Mont-Olivet Châteauneuf-du-Pape 2007,54.8,0.0,0.0
5563,Tempier Bandol Tourtine 2017,58.0,0.0,0.0
4032,Pierre Jean Villa IGP Collines Rhodaniennes Gamine 2018,14.1,3.0,42.3
4782,Paul Ginglinger Pinot Blanc 2017,9.8,3.0,29.400000000000002
4301,Domaine de La Tour Du Bon Bandol Rosé 2019,17.5,3.0,52.5
4105,Emile Boeckel Sylvaner Vieilles Vignes 2019,6.8,5.0,34.0
4060,Mourgues du Grès Costières de Nîmes Terre d'Argence 2017,11.9,9.0,107.10000000000001
6047,Château de La Liquière Faugères L'Ampoule 2019,10.9,38.0,414.2
4648,Bernard Baudry Chinon Blanc La Croix Boissée 2018,24.3,2.0,48.6
4197,Château de La Liquière Faugères Les Amandiers Rosé 2019,9.4,8.0,75.2
4187,Le Pas de l'Escalette Languedoc Les Petits Pas 2019,13.3,42.0,558.6
4734,Camin Larredya Jurançon Moelleux Costat Darrer 2018,15.3,1.0,15.3
4075,Plateau des Chênes Lirac 2015,14.7,0.0,0.0
4286,Domaine Hauvette Les Baux de Provence Amethyste 2017,69.8,10.0,698.0
